Class Name,Line Coverage (%),Mutation Coverage (%)
CeilInBinarySearchTree.java,80.0,88.0
CheckBinaryTreeIsValidBST.java,75.0,93.0
CheckIfBinaryTreeBalanced.java,95.0,93.0
CheckTreeIsSymmetric.java,82.0,100.0
CreateBinaryTreeFromInorderPreorder.java,94.0,100.0
FenwickTree.java,0.0,0.0
GenericTree.java,0.0,0.0
InorderTraversal.java,91.0,92.0
KDTree.java,65.0,56.0
LCA.java,0.0,0.0
LazySegmentTree.java,100.0,91.0
LevelOrderTraversal.java,62.0,41.0
PostOrderTraversal.java,92.0,93.0
PreOrderTraversal.java,91.0,93.0
PrintTopViewofTree.java,0.0,0.0
RedBlackBST.java,0.0,0.0
SameTreesCheck.java,93.0,92.0
SegmentTree.java,0.0,0.0
TreeRandomNode.java,0.0,0.0
TrieImp.java,0.0,0.0
VerticalOrderTraversal.java,93.0,100.0
ZigzagTraversal.java,92.0,100.0
nearestRightKey.java,0.0,0.0
Node.java,0.0,0.0
SimpleNode.java,0.0,0.0
SimpleTreeNode.java,0.0,0.0
TreeNode.java,0.0,0.0
CountSinglyLinkedListRecursion.java,0.0,0.0
CreateAndDetectLoop.java,0.0,0.0
CursorLinkedList.java,0.0,0.0
DoublyLinkedList.java,0.0,0.0
MergeSortedArrayList.java,0.0,0.0
MergeSortedSinglyLinkedList.java,0.0,0.0
Merge_K_SortedLinkedlist.java,0.0,0.0
QuickSortLinkedList.java,100.0,91.0
RandomNode.java,0.0,0.0
ReverseKGroup.java,100.0,93.0
RotateSinglyLinkedLists.java,100.0,100.0
SearchSinglyLinkedListRecursion.java,0.0,0.0
SinglyLinkedList.java,64.0,57.0
SkipList.java,93.0,58.0
AESEncryption.java,0.0,0.0
AffineCipher.java,0.0,0.0
Blowfish.java,100.0,100.0
Caesar.java,100.0,73.0
ColumnarTranspositionCipher.java,0.0,0.0
DES.java,95.0,96.0
HillCipher.java,0.0,0.0
PlayfairCipher.java,85.0,70.0
Polybius.java,91.0,100.0
ProductCipher.java,0.0,0.0
RSA.java,82.0,67.0
SimpleSubCipher.java,100.0,88.0
Vigenere.java,100.0,97.0
InverseOfMatrix.java,0.0,0.0
MapReduce.java,78.0,100.0
MedianOfMatrix.java,78.0,100.0
MedianOfRunningArray.java,100.0,81.0
MedianOfRunningArrayByte.java,100.0,67.0
MedianOfRunningArrayDouble.java,100.0,100.0
MedianOfRunningArrayFloat.java,100.0,100.0
MedianOfRunningArrayInteger.java,100.0,100.0
MedianOfRunningArrayLong.java,100.0,100.0
MirrorOfMatrix.java,90.0,100.0
PalindromePrime.java,0.0,0.0
PalindromeSinglyLinkedList.java,82.0,100.0
RangeInSortedArray.java,0.0,0.0
Sort012D.java,0.0,0.0
Sparsity.java,0.0,0.0
ThreeSumProblem.java,0.0,0.0
TwoSumProblem.java,80.0,100.0
WordBoggle.java,0.0,0.0
matrixTranspose.java,0.0,0.0
GenericHashMapUsingArrayList.java,52.0,57.0
HashMap.java,0.0,0.0
HashMapCuckooHashing.java,69.0,49.0
Intersection.java,0.0,0.0
LinearProbingHashMap.java,97.0,78.0
Main.java,0.0,0.0
MainCuckooHashing.java,0.0,0.0
MajorityElement.java,86.0,100.0
Map.java,67.0,40.0
